Name of Player,Country Code,Discipline,Latitude,Longitude
SILVA Rui,PORTUGAL,Handball,39.399872,-8.224454
SILVA Yarisley,CUBA,Athletics,21.521757,-77.781167
SILVESTRO Evelyn Maricel,ARGENTINA,Rowing,-38.416097,-63.616672
SIM Haein,REPUBLIC OF KOREA,Handball,-22.95764,18.49041
SIM Jaeyoung,REPUBLIC OF KOREA,Taekwondo,-22.95764,18.49041
SIM Stuart,AUSTRALIA,Rowing,-25.274398,133.775136
SIM Welson,MALAYSIA,Swimming,4.210484,101.975766
SIMANEK Jiri,CZECH REPUBLIC,Rowing,49.817492,15.472962
SIMANOVICH Anastasia,ROC,Water Polo,-22.95764,18.49041
SIMBINE Akani,SOUTH AFRICA,Athletics,-30.559482,22.937506
SIME Abrham,ETHIOPIA,Athletics,9.145,40.489673
SIMIC Ana,CROATIA,Athletics,45.1,15.2
SIMIONESCU Vladut,ROMANIA,Judo,45.943161,24.96676
SIMMERLING Georgia,CANADA,Cycling Track,56.130366,-106.346771
SIMMERMACHER Magdalena Maria,ARGENTINA,Golf,-38.416097,-63.616672
SIMMONDS Joshua,AUSTRALIA,Hockey,-25.274398,133.775136
SIMON Gilles,FRANCE,Tennis,46.227638,2.213749
SIMON Kyah,AUSTRALIA,Football,-25.274398,133.775136
SIMON Unai,SPAIN,Football,40.463667,-3.74922
SIMONEAU Jacqueline,CANADA,Artistic Swimming,56.130366,-106.346771
SIMONET Diego Esteban,ARGENTINA,Handball,-38.416097,-63.616672
SIMONET Pablo Ariel,ARGENTINA,Handball,-38.416097,-63.616672
SIMONET Sebastian Alejandro,ARGENTINA,Handball,-38.416097,-63.616672
SIMOTWO Charles Cheboi,KENYA,Athletics,-0.023559,37.906193
SIMWAKA Asimenye,MALAWI,Athletics,-13.254308,34.301525
SINANCEVIC Armin,SERBIA,Athletics,44.016521,21.005859
SINCLAIR Christine,CANADA,Football,56.130366,-106.346771
SINDEN Bradly,GREAT BRITAIN,Taekwondo,-22.95764,18.49041
SINGH Arvind,INDIA,Rowing,20.593684,78.96288
SINGH Gaurika,NEPAL,Swimming,28.394857,84.124008
SINGH Gurjant,INDIA,Hockey,20.593684,78.96288
SINGH Gurpreet,INDIA,Athletics,20.593684,78.96288
SINGH Hardik,INDIA,Hockey,20.593684,78.96288
SINGH Harmanpreet,INDIA,Hockey,20.593684,78.96288
SINGH Luther,SOUTH AFRICA,Football,-30.559482,22.937506
SINGH Mandeep,INDIA,Hockey,20.593684,78.96288
SINGH Manpreet,INDIA,Hockey,20.593684,78.96288
